abstract thinking,function
acoustic processing,function
action imitation,function
action initiation,function
action observation,function
action selection,function
affect perception,function
affect recognition,function
altruism,function
analogical problem solving,function
analogical reasoning,function
anticipation,function
antisaccade,function
apparent motion,function
apparent movement,function
apperception,function
appetitive motivation,function
arousal,function
trochlear nucleus,structure
tuber cinereum,structure
ventral anterior nucleus,structure
ventral posterior nucleus,structure
ventral posterolateral nucleus,structure
ventral posteromedial nucleus,structure
ventral tegmental area,structure
vestibular nuclei,structure
visual extrastriate,structure
Wernicke's area,structure
zona incerta,structure